pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1008.0,4,24.6,20.7,115.0,8.0,-7.2504622962932,3.3809460939255946,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
1000.0,74,24.0,20.4,115.0,10.0,-9.0630778703665,4.226182617406994,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
952.0,503,20.6,19.3,143.0,12.0,-7.221780277824578,9.583626120567516,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
938.0,631,23.4,11.4,152.0,13.0,-6.103130316216579,11.47831870716605,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
925.0,753,23.0,10.0,160.0,14.0,-4.788282006559364,13.155696691002717,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
888.0,1107,21.2,5.2,165.0,9.0,-2.3293714059226893,8.693332436601613,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
881.0,1176,20.2,10.2,166.0,8.0,-1.9353751647973418,7.762365810207972,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
860.0,1383,20.0,3.0,169.0,5.0,-0.9540449768827248,4.90813591723832,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
850.0,1484,19.2,3.2,170.0,4.0,-0.6945927106677211,3.939231012048832,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
822.0,1771,16.8,8.8,187.0,5.0,0.6093467170257365,4.962730758206611,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
786.0,2151,14.8,1.8,210.0,6.0,3.000000000000001,5.196152422706632,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
700.0,3117,7.2,-2.8,270.0,10.0,10.0,1.8369701987210296e-15,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
684.0,3307,5.8,-6.2,272.0,11.0,10.993299097210054,-0.3838944637275141,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
612.0,4205,-1.7,-6.7,280.0,19.0,18.711347307231954,-3.2993153756716693,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
589.0,4509,-2.9,-15.9,283.0,22.0,21.436141425275174,-4.948923195565028,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
545.0,5120,-6.1,-17.1,289.0,27.0,25.529001541181557,-8.790340170343221,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
529.0,5353,-6.5,-48.5,291.0,29.0,27.073832368418852,-10.39267053681371,,58362,2009-06-15 12:00:00,31.4,121.46,4.0,31.43
