pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1005.0,4,23.4,12.4,115.0,6.0,-5.4378467222199,2.535709570444196,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
1000.0,52,23.0,7.0,115.0,6.0,-5.4378467222199,2.535709570444196,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
949.0,505,18.8,2.8,124.0,15.0,-12.435563588325627,8.3878935520612,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
944.0,550,20.0,-29.0,125.0,16.0,-13.106432708623867,9.177222981616739,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
925.0,725,21.6,-27.4,125.0,16.0,-13.106432708623867,9.177222981616739,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
923.0,744,21.8,-27.2,125.0,15.0,-12.287280664334876,8.603646545265692,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
871.0,1241,18.8,-8.3,120.0,12.0,-10.392304845413264,5.999999999999997,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
850.0,1451,17.6,-0.4,145.0,8.0,-4.5886114908083675,6.553216354311935,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
840.0,1552,16.8,-2.2,157.0,7.0,-2.7351178994249166,6.4435339741670825,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
801.0,1953,13.5,4.1,205.0,4.0,1.690473046962797,3.6252311481466,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
784.0,2135,12.0,7.0,210.0,5.0,2.5000000000000004,4.330127018922193,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
771.0,2275,11.0,3.0,214.0,6.0,3.3551574208244803,4.974225435330251,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
768.0,2307,11.3,-13.8,215.0,6.0,3.441458618106277,4.914912265733951,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
764.0,2351,11.6,-36.4,203.0,6.0,2.344386770935641,5.523029120714642,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
755.0,2450,12.4,-35.6,177.0,7.0,-0.36635169370060666,6.9904067432820165,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
734.0,2684,11.4,-32.5,115.0,8.0,-7.2504622962932,3.3809460939255946,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
700.0,3079,9.6,-27.4,115.0,10.0,-9.0630778703665,4.226182617406994,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
671.0,3421,7.3,-27.9,110.0,4.0,-3.7587704831436337,1.3680805733026749,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
641.0,3790,4.9,-28.4,200.0,2.0,0.6840402866513373,1.8793852415718169,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
613.0,4151,2.5,-29.0,40.0,2.0,-1.2855752193730785,-1.532088886237956,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
585.0,4529,-0.0,-29.5,345.0,8.0,2.0705523608201655,-7.7274066103125465,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
558.0,4911,-2.5,-30.1,285.0,8.0,7.727406610312547,-2.0705523608201624,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
538.0,5206,-4.5,-30.5,308.0,11.0,8.66811828967394,-6.7722762285822435,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
532.0,5294,-4.8,-32.8,315.0,12.0,8.485281374238571,-8.485281374238568,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
500.0,5780,-6.7,-45.7,310.0,17.0,13.022755533022629,-10.927389364671168,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
482.0,6063,-7.9,-46.9,305.0,19.0,15.563888841490844,-10.897952290669874,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
457.0,6473,-9.7,-48.7,325.0,27.0,15.486563781478255,-22.117105195802772,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
435.0,6853,-11.3,-50.3,305.0,31.0,25.393713372958747,-17.780869526882427,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
400.0,7500,-14.1,-53.1,305.0,35.0,28.670321550114714,-20.07517527228661,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
398.0,7538,-14.3,-53.3,305.0,35.0,28.670321550114714,-20.07517527228661,,58362,2017-06-02 12:00:00,31.4,121.46,4.0,11.37
