pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1011.0,4,21.0,15.0,270.0,10.0,10.0,1.8369701987210296e-15,,58362,2017-06-07,31.4,121.46,4.0,32.88
1000.0,104,19.8,13.8,285.0,8.0,7.727406610312547,-2.0705523608201624,,58362,2017-06-07,31.4,121.46,4.0,32.88
989.0,199,19.1,13.4,295.0,8.0,7.250462296293199,-3.380946093925597,,58362,2017-06-07,31.4,121.46,4.0,32.88
951.0,533,16.5,12.2,315.0,17.0,12.02081528017131,-12.020815280171306,,58362,2017-06-07,31.4,121.46,4.0,32.88
927.0,752,14.8,11.4,306.0,21.0,16.9893568818739,-12.343490298141932,,58362,2017-06-07,31.4,121.46,4.0,32.88
925.0,770,14.8,11.2,305.0,21.0,17.20219293006883,-12.045105163371968,,58362,2017-06-07,31.4,121.46,4.0,32.88
916.0,853,16.0,10.0,303.0,22.0,18.450752494799335,-11.982058770330585,,58362,2017-06-07,31.4,121.46,4.0,32.88
863.0,1359,15.6,2.6,293.0,23.0,21.17161162940613,-8.98681595525329,,58362,2017-06-07,31.4,121.46,4.0,32.88
850.0,1487,15.2,2.2,290.0,23.0,21.61293027807589,-7.8664632964903864,,58362,2017-06-07,31.4,121.46,4.0,32.88
844.0,1547,15.0,2.6,290.0,23.0,21.61293027807589,-7.8664632964903864,,58362,2017-06-07,31.4,121.46,4.0,32.88
814.0,1853,13.8,4.8,277.0,25.0,24.81365379103305,-3.0467335851286923,,58362,2017-06-07,31.4,121.46,4.0,32.88
777.0,2242,12.5,1.0,260.0,27.0,26.589809331329615,4.688500797007119,,58362,2017-06-07,31.4,121.46,4.0,32.88
700.0,3115,9.6,-7.4,260.0,41.0,40.37711787350053,7.119575284344144,,58362,2017-06-07,31.4,121.46,4.0,32.88
674.0,3429,8.6,-11.4,258.0,42.0,41.08219923081983,8.732291014345911,,58362,2017-06-07,31.4,121.46,4.0,32.88
571.0,4782,0.4,-13.6,251.0,46.0,43.493854477568576,14.976135105029206,,58362,2017-06-07,31.4,121.46,4.0,32.88
559.0,4952,-0.9,-5.1,250.0,46.0,43.22586055615179,15.732926592980753,,58362,2017-06-07,31.4,121.46,4.0,32.88
531.0,5363,-2.3,-4.2,248.0,47.0,43.577641164639005,17.606509890547876,,58362,2017-06-07,31.4,121.46,4.0,32.88
500.0,5840,-4.7,-6.7,245.0,49.0,44.409081564795855,20.70829482529426,,58362,2017-06-07,31.4,121.46,4.0,32.88
434.0,6939,-10.3,-15.3,240.0,62.0,53.69357503463519,31.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
421.0,7171,-11.7,-19.7,240.0,62.0,53.69357503463519,31.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
403.0,7503,-13.7,-18.7,240.0,62.0,53.69357503463519,31.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
400.0,7560,-14.1,-20.1,240.0,62.0,53.69357503463519,31.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
373.0,8087,-17.9,-34.9,241.0,63.0,55.10104154978194,30.54300607551922,,58362,2017-06-07,31.4,121.46,4.0,32.88
366.0,8229,-19.1,-21.2,242.0,63.0,55.6256983501124,29.576708455511117,,58362,2017-06-07,31.4,121.46,4.0,32.88
362.0,8311,-19.1,-22.5,242.0,64.0,56.50864594297133,30.046180018297008,,58362,2017-06-07,31.4,121.46,4.0,32.88
360.0,8352,-19.1,-29.1,242.0,64.0,56.50864594297133,30.046180018297008,,58362,2017-06-07,31.4,121.46,4.0,32.88
352.0,8520,-20.1,-32.1,242.0,64.0,56.50864594297133,30.046180018297008,,58362,2017-06-07,31.4,121.46,4.0,32.88
339.0,8798,-22.3,-29.3,243.0,64.0,57.02441754805554,29.055391983331003,,58362,2017-06-07,31.4,121.46,4.0,32.88
336.0,8863,-22.5,-25.1,243.0,65.0,57.91542407224391,29.50938248307055,,58362,2017-06-07,31.4,121.46,4.0,32.88
311.0,9429,-25.1,-33.1,244.0,66.0,59.32040705574501,28.93249568807913,,58362,2017-06-07,31.4,121.46,4.0,32.88
300.0,9690,-27.3,-37.3,245.0,66.0,59.81631394441891,27.892805274886143,,58362,2017-06-07,31.4,121.46,4.0,32.88
264.0,10594,-34.3,-41.5,240.0,68.0,58.88972745734182,34.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
250.0,10980,-37.3,-43.3,240.0,68.0,58.88972745734182,34.00000000000003,,58362,2017-06-07,31.4,121.46,4.0,32.88
243.0,11175,-38.7,-44.7,241.0,68.0,59.474140085478915,32.967054176750906,,58362,2017-06-07,31.4,121.46,4.0,32.88
200.0,12480,-48.3,-59.3,245.0,68.0,61.628929518492214,28.738041798367544,,58362,2017-06-07,31.4,121.46,4.0,32.88
186.0,12953,-52.3,-63.3,244.0,67.0,60.219201102044174,29.37086683486821,,58362,2017-06-07,31.4,121.46,4.0,32.88
169.0,13569,-54.5,-66.5,242.0,65.0,57.39159353583025,30.5156515810829,,58362,2017-06-07,31.4,121.46,4.0,32.88
