pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1000.0,4,31.0,24.0,225.0,4.0,2.82842712474619,2.8284271247461907,,58362,2012-07-12,31.4,121.46,4.0,68.78
962.0,352,30.6,21.6,237.0,9.0,7.548035111508818,4.901751315135243,,58362,2012-07-12,31.4,121.46,4.0,68.78
925.0,703,27.6,20.6,250.0,14.0,13.155696691002717,4.78828200655936,,58362,2012-07-12,31.4,121.46,4.0,68.78
858.0,1365,22.0,20.7,277.0,15.0,14.88819227461983,-1.8280401510772153,,58362,2012-07-12,31.4,121.46,4.0,68.78
850.0,1447,21.4,20.3,280.0,16.0,15.75692404819533,-2.7783708426708795,,58362,2012-07-12,31.4,121.46,4.0,68.78
750.0,2524,14.6,13.4,254.0,18.0,17.302710526889744,4.9614724047059795,,58362,2012-07-12,31.4,121.46,4.0,68.78
700.0,3107,11.4,10.2,240.0,19.0,16.45448267190433,9.500000000000009,,58362,2012-07-12,31.4,121.46,4.0,68.78
699.0,3119,11.2,10.0,240.0,19.0,16.45448267190433,9.500000000000009,,58362,2012-07-12,31.4,121.46,4.0,68.78
690.0,3228,12.0,5.0,240.0,20.0,17.32050807568877,10.000000000000009,,58362,2012-07-12,31.4,121.46,4.0,68.78
664.0,3550,11.4,3.4,241.0,21.0,18.367013849927314,10.181002025173074,,58362,2012-07-12,31.4,121.46,4.0,68.78
643.0,3818,9.0,6.0,241.0,21.0,18.367013849927314,10.181002025173074,,58362,2012-07-12,31.4,121.46,4.0,68.78
500.0,5860,-3.5,-6.6,245.0,27.0,24.470310249989556,11.410693066998878,,58362,2012-07-12,31.4,121.46,4.0,68.78
496.0,5923,-4.1,-6.7,244.0,27.0,24.267439250077505,11.8360209633051,,58362,2012-07-12,31.4,121.46,4.0,68.78
491.0,6003,-4.1,-9.1,243.0,28.0,24.948182677274296,12.711733992707314,,58362,2012-07-12,31.4,121.46,4.0,68.78
449.0,6705,-7.1,-9.4,235.0,29.0,23.755409284380757,16.633716654180343,,58362,2012-07-12,31.4,121.46,4.0,68.78
437.0,6916,-7.9,-14.9,233.0,30.0,23.959065301418786,18.05445069456145,,58362,2012-07-12,31.4,121.46,4.0,68.78
423.0,7169,-9.3,-13.9,230.0,30.0,22.981333293569335,19.283628290596184,,58362,2012-07-12,31.4,121.46,4.0,68.78
400.0,7600,-10.7,-20.7,225.0,31.0,21.920310216782973,21.92031021678298,,58362,2012-07-12,31.4,121.46,4.0,68.78
389.0,7814,-11.7,-24.7,229.0,31.0,23.39599698690593,20.337829898705724,,58362,2012-07-12,31.4,121.46,4.0,68.78
333.0,8985,-20.5,-34.5,254.0,29.0,27.87658918221125,7.9934833186929675,,58362,2012-07-12,31.4,121.46,4.0,68.78
321.0,9256,-22.3,-29.3,259.0,28.0,27.485561136534592,5.342651870543249,,58362,2012-07-12,31.4,121.46,4.0,68.78
300.0,9750,-25.7,-34.7,270.0,27.0,27.0,4.95981953654678e-15,,58362,2012-07-12,31.4,121.46,4.0,68.78
279.0,10270,-29.3,-44.3,276.0,29.0,28.841134965679927,-3.0313254347619365,,58362,2012-07-12,31.4,121.46,4.0,68.78
250.0,11040,-35.9,-47.9,285.0,31.0,29.94370061496112,-8.02339039817813,,58362,2012-07-12,31.4,121.46,4.0,68.78
200.0,12550,-48.7,-58.7,285.0,37.0,35.739255572695534,-9.57630466879325,,58362,2012-07-12,31.4,121.46,4.0,68.78
185.0,13058,-52.9,-62.9,289.0,37.0,34.98418729717473,-12.046021714914783,,58362,2012-07-12,31.4,121.46,4.0,68.78
150.0,14380,-63.7,,300.0,39.0,33.77499074759311,-19.500000000000004,,58362,2012-07-12,31.4,121.46,4.0,68.78
123.0,15571,-72.5,,310.0,37.0,28.34364439540219,-23.78314155840195,,58362,2012-07-12,31.4,121.46,4.0,68.78
105.0,16496,-74.1,,337.0,19.0,7.423891441296203,-17.489592215596364,,58362,2012-07-12,31.4,121.46,4.0,68.78
100.0,16780,-74.7,,345.0,14.0,3.6234666314352895,-13.522961568046956,,58362,2012-07-12,31.4,121.46,4.0,68.78
77.9,18225,-75.9,,52.0,18.0,-14.184193564920996,-11.081906555861849,,58362,2012-07-12,31.4,121.46,4.0,68.78
70.0,18850,-70.9,,80.0,19.0,-18.711347307231954,-3.2993153756716778,,58362,2012-07-12,31.4,121.46,4.0,68.78
59.2,19860,-65.1,,80.0,25.0,-24.6201938253052,-4.34120444167326,,58362,2012-07-12,31.4,121.46,4.0,68.78
50.0,20900,-61.7,,80.0,31.0,-30.529040343378448,-5.383093507674843,,58362,2012-07-12,31.4,121.46,4.0,68.78
42.4,21925,-59.1,,82.0,34.0,-33.669114337213394,-4.731885432642226,,58362,2012-07-12,31.4,121.46,4.0,68.78
30.4,24026,-55.3,,85.0,41.0,-40.84398262176157,-3.5733854526539837,,58362,2012-07-12,31.4,121.46,4.0,68.78
30.0,24110,-54.9,,85.0,41.0,-40.84398262176157,-3.5733854526539837,,58362,2012-07-12,31.4,121.46,4.0,68.78
22.2,26070,-47.1,,92.0,41.0,-40.975023907782926,1.430879364802539,,58362,2012-07-12,31.4,121.46,4.0,68.78
20.0,26760,-47.5,,95.0,41.0,-40.84398262176157,3.5733854526539877,,58362,2012-07-12,31.4,121.46,4.0,68.78
15.8,28319,-46.9,,,,,,,58362,2012-07-12,31.4,121.46,4.0,68.78
11.2,30595,-47.5,,,,,,,58362,2012-07-12,31.4,121.46,4.0,68.78
10.1,31283,-43.9,,,,,,,58362,2012-07-12,31.4,121.46,4.0,68.78
