pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
997.0,4,26.8,25.8,70.0,14.0,-13.155696691002717,-4.788282006559363,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
979.0,164,25.9,25.1,35.0,21.0,-12.045105163371968,-17.20219293006883,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
944.0,485,24.0,23.6,45.0,37.0,-26.16295090390226,-26.16295090390226,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
925.0,664,23.0,22.8,45.0,39.0,-27.577164466275356,-27.577164466275356,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
880.0,1098,21.0,20.7,50.0,45.0,-34.47199994035401,-28.925442435894272,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
850.0,1400,19.6,19.3,45.0,39.0,-27.577164466275356,-27.577164466275356,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
700.0,3054,11.4,11.1,55.0,37.0,-30.308625638692696,-21.222328144988705,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
699.0,3066,11.4,11.1,55.0,37.0,-30.308625638692696,-21.222328144988705,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
631.0,3904,7.5,7.1,60.0,31.0,-26.846787517317598,-15.500000000000004,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
550.0,5029,2.2,1.7,35.0,25.0,-14.339410908776152,-20.478801107224793,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
500.0,5810,-1.5,-2.1,40.0,23.0,-14.784115022790402,-17.619022191736494,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
490.0,5971,-1.5,-2.1,40.0,23.0,-14.784115022790402,-17.619022191736494,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
405.0,7463,-9.6,-10.6,45.0,19.0,-13.435028842544403,-13.435028842544403,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
400.0,7560,-10.1,-11.1,45.0,21.0,-14.849242404917499,-14.849242404917499,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
365.0,8261,-14.1,-15.5,39.0,19.0,-11.95708742994691,-14.765773267682448,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
318.0,9286,-21.1,-23.4,30.0,16.0,-7.999999999999999,-13.85640646055102,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
301.0,9695,-23.9,-26.5,35.0,14.0,-8.030070108914645,-11.468128620045885,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
300.0,9720,-24.1,-26.7,35.0,14.0,-8.030070108914645,-11.468128620045885,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
254.0,10918,-32.9,-34.5,67.0,17.0,-15.648582508691486,-6.6424291843176535,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
250.0,11030,-33.5,-35.3,70.0,17.0,-15.974774553360442,-5.81434243653637,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
200.0,12550,-46.7,-51.7,90.0,23.0,-23.0,-1.4083438190194562e-15,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
189.0,12922,-49.7,-56.7,98.0,23.0,-22.77616558105612,3.2009813220815033,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
150.0,14390,-62.7,,130.0,23.0,-17.619022191736494,14.784115022790406,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
149.0,14431,-63.0,,130.0,23.0,-17.619022191736494,14.784115022790406,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
130.0,15257,-69.9,,135.0,23.0,-16.263455967290593,16.263455967290593,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
127.0,15399,-71.1,,127.0,22.0,-17.56998122104044,13.239930509345065,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
112.0,16141,-73.3,,85.0,16.0,-15.939115169467929,-1.3944918839625302,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
105.0,16522,-71.7,,68.0,19.0,-17.61649323676896,-7.117525274902327,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
100.0,16810,-72.5,,55.0,21.0,-17.20219293006883,-12.045105163371968,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
99.0,16869,-72.5,,55.0,21.0,-17.20219293006883,-12.045105163371968,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
72.6,18694,-72.1,,64.0,23.0,-20.67226306488084,-10.08253637614878,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
70.0,18910,-69.1,,65.0,23.0,-20.84507910184295,-9.720220020036088,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
55.9,20267,-63.9,,75.0,23.0,-22.21629400464857,-5.952838037357977,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
50.0,20950,-62.7,,80.0,23.0,-22.650578319280786,-3.9939080863393994,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
48.0,21203,-62.0,,80.0,21.0,-20.680962813256368,-3.646611731005539,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
44.0,21742,-60.6,,80.0,21.0,-20.680962813256368,-3.646611731005539,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
41.3,22134,-59.5,,77.0,23.0,-22.41051149006041,-5.173874249908893,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
35.0,23177,-57.2,,70.0,27.0,-25.371700761219525,-9.234543869793058,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
30.6,24024,-55.3,,74.0,29.0,-27.876589182211248,-7.9934833186929755,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
30.0,24150,-55.1,,75.0,29.0,-28.01184896238298,-7.5057523079731014,,58362,2018-08-16 12:00:00,31.4,121.46,4.0,79.13
