400	0.04452 
401	0.04448 
402	0.04445 
403	0.04443 
404	0.04443 
405	0.04446 
406	0.04442 
407	0.04437 
408	0.04435 
409	0.04430 
410	0.04425 
411	0.04421 
412	0.04418 
413	0.04415 
414	0.04414 
415	0.04414 
416	0.04414 
417	0.04414 
418	0.04414 
419	0.04414 
420	0.04410 
421	0.04407 
422	0.04404 
423	0.04399 
424	0.04398 
425	0.04396 
426	0.04393 
427	0.04387 
428	0.04385 
429	0.04381 
430	0.04375 
431	0.04369 
432	0.04362 
433	0.04358 
434	0.04353 
435	0.04351 
436	0.04348 
437	0.04347 
438	0.04345 
439	0.04345 
440	0.04347 
441	0.04352 
442	0.04360 
443	0.04369 
444	0.04379 
445	0.04393 
446	0.04408 
447	0.04425 
448	0.04447 
449	0.04474 
450	0.04506 
451	0.04543 
452	0.04584 
453	0.04628 
454	0.04671 
455	0.04715 
456	0.04759 
457	0.04806 
458	0.04849 
459	0.04891 
460	0.04928 
461	0.04964 
462	0.04995 
463	0.05023 
464	0.05053 
465	0.05084 
466	0.05113 
467	0.05140 
468	0.05163 
469	0.05187 
470	0.05209 
471	0.05227 
472	0.05243 
473	0.05261 
474	0.05276 
475	0.05291 
476	0.05306 
477	0.05328 
478	0.05348 
479	0.05369 
480	0.05393 
481	0.05425 
482	0.05462 
483	0.05504 
484	0.05554 
485	0.05613 
486	0.05682 
487	0.05760 
488	0.05851 
489	0.05955 
490	0.06068 
491	0.06194 
492	0.06331 
493	0.06486 
494	0.06651 
495	0.06834 
496	0.07033 
497	0.07250 
498	0.07488 
499	0.07743 
500	0.08020 
501	0.08318 
502	0.08635 
503	0.08978 
504	0.09342 
505	0.09729 
506	0.10143 
507	0.10581 
508	0.11045 
509	0.11532 
510	0.12046 
511	0.12588 
512	0.13156 
513	0.13749 
514	0.14365 
515	0.14998 
516	0.15643 
517	0.16299 
518	0.16957 
519	0.17615 
520	0.18264 
521	0.18901 
522	0.19522 
523	0.20119 
524	0.20678 
525	0.21202 
526	0.21683 
527	0.22118 
528	0.22503 
529	0.22842 
530	0.23137 
531	0.23387 
532	0.23594 
533	0.23756 
534	0.23883 
535	0.23975 
536	0.24037 
537	0.24069 
538	0.24083 
539	0.24076 
540	0.24055 
541	0.24024 
542	0.23984 
543	0.23945 
544	0.23905 
545	0.23869 
546	0.23835 
547	0.23803 
548	0.23769 
549	0.23731 
