pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
936.0,611,9.2,7.2,315.0,8.0,5.6568542494923815,-5.656854249492379,,50527,2013-08-30,49.21,119.75,611.0,19.01
925.0,749,8.8,5.7,320.0,12.0,7.713451316238475,-9.192533317427733,,50527,2013-08-30,49.21,119.75,611.0,19.01
911.0,875,8.2,5.1,327.0,14.0,7.624946490210378,-11.741387951235936,,50527,2013-08-30,49.21,119.75,611.0,19.01
896.0,1013,9.6,4.7,335.0,17.0,7.184510449591887,-15.40723237962305,,50527,2013-08-30,49.21,119.75,611.0,19.01
886.0,1106,9.1,4.2,340.0,19.0,6.498382723187704,-17.85415979493226,,50527,2013-08-30,49.21,119.75,611.0,19.01
850.0,1449,7.0,2.5,340.0,19.0,6.498382723187704,-17.85415979493226,,50527,2013-08-30,49.21,119.75,611.0,19.01
827.0,1670,5.3,1.3,335.0,23.0,9.720220020036082,-20.845079101842952,,50527,2013-08-30,49.21,119.75,611.0,19.01
797.0,1967,3.0,-0.2,330.0,23.0,11.50000000000001,-19.918584287042084,,50527,2013-08-30,49.21,119.75,611.0,19.01
700.0,3010,-5.1,-5.7,350.0,25.0,4.34120444167326,-24.6201938253052,,50527,2013-08-30,49.21,119.75,611.0,19.01
626.0,3880,-10.7,-11.4,355.0,29.0,2.5275165396820913,-28.88964624466062,,50527,2013-08-30,49.21,119.75,611.0,19.01
564.0,4680,-12.9,-14.0,0.0,33.0,-0.0,-33.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
563.0,4694,-12.9,-14.0,0.0,33.0,-0.0,-33.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
500.0,5590,-18.7,-20.5,0.0,37.0,-0.0,-37.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
490.0,5740,-19.7,-21.6,0.0,39.0,-0.0,-39.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
479.0,5909,-20.9,-22.9,0.0,39.0,-0.0,-39.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
400.0,7220,-30.1,-32.6,0.0,37.0,-0.0,-37.0,,50527,2013-08-30,49.21,119.75,611.0,19.01
342.0,8315,-38.7,-41.9,5.0,37.0,-3.224762481663352,-36.85920382939459,,50527,2013-08-30,49.21,119.75,611.0,19.01
300.0,9200,-46.5,-50.4,10.0,37.0,-6.424982573676422,-36.437886861451695,,50527,2013-08-30,49.21,119.75,611.0,19.01
273.0,9810,-51.0,-55.4,15.0,43.0,-11.129218939408393,-41.53481053042994,,50527,2013-08-30,49.21,119.75,611.0,19.01
250.0,10380,-55.3,-60.1,15.0,39.0,-10.09394275899831,-37.671107225273666,,50527,2013-08-30,49.21,119.75,611.0,19.01
244.0,10534,-56.1,-61.0,10.0,35.0,-6.077686218342562,-34.468271355427284,,50527,2013-08-30,49.21,119.75,611.0,19.01
226.0,11031,-49.0,-53.6,355.0,25.0,2.178893568691458,-24.90486745229364,,50527,2013-08-30,49.21,119.75,611.0,19.01
221.0,11176,-46.9,-51.4,350.0,23.0,3.993908086339399,-22.650578319280786,,50527,2013-08-30,49.21,119.75,611.0,19.01
203.0,11741,-45.1,-49.8,332.0,16.0,7.511545004574253,-14.127161485742832,,50527,2013-08-30,49.21,119.75,611.0,19.01
