pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
939.0,611,0.0,-7.0,195.0,12.0,3.1058285412302498,11.59110991546882,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
925.0,767,1.4,-9.6,225.0,17.0,12.020815280171307,12.02081528017131,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
924.0,776,1.5,-10.0,225.0,17.0,12.020815280171307,12.02081528017131,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
923.0,784,1.6,-10.4,226.0,17.0,12.228776605757071,11.809192297802953,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
870.0,1258,-1.7,-13.7,260.0,17.0,16.741731801207536,2.952019020337816,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
857.0,1378,-2.5,-14.5,266.0,16.0,15.961024804157187,1.1161035799060093,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
850.0,1443,-3.1,-15.1,270.0,16.0,16.0,2.9391523179536475e-15,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
700.0,2943,-16.1,-19.4,330.0,16.0,8.000000000000007,-13.856406460551014,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
688.0,3073,-17.2,-20.1,330.0,16.0,8.000000000000007,-13.856406460551014,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
680.0,3160,-17.9,-20.6,327.0,14.0,7.624946490210378,-11.741387951235936,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
659.0,3394,-18.6,-28.4,320.0,12.0,7.713451316238475,-9.192533317427733,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
625.0,3788,-19.7,-41.7,325.0,15.0,8.603646545265697,-12.287280664334874,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
522.0,5102,-27.5,-35.5,341.0,28.0,9.115908324800387,-26.474520116780873,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
500.0,5410,-30.1,-36.1,345.0,31.0,8.023390398178142,-29.943700614961116,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
459.0,6016,-34.7,-39.7,350.0,33.0,5.7303898630087025,-32.498655849402866,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
458.0,6031,-34.8,-39.9,350.0,33.0,5.7303898630087025,-32.498655849402866,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
400.0,6970,-40.5,-50.5,340.0,37.0,12.654745303049738,-34.76862696907861,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
394.0,7070,-41.2,-52.1,340.0,37.0,12.654745303049738,-34.76862696907861,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
314.0,8576,-51.5,-75.5,340.0,34.0,11.628684873072732,-31.949549106720887,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
300.0,8870,-53.7,-80.7,340.0,33.0,11.286664729747065,-31.00985648593498,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
250.0,10020,-61.1,,330.0,25.0,12.50000000000001,-21.65063509461096,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
230.0,10537,-63.7,,325.0,23.0,13.192258036074069,-18.840497018646808,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
217.0,10896,-63.4,,325.0,23.0,13.192258036074069,-18.840497018646808,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
200.0,11400,-62.9,,320.0,27.0,17.35526546153657,-20.6831999642124,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
153.0,13075,-56.9,,311.0,31.0,23.39599698690594,-20.337829898705717,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
150.0,13200,-57.3,,310.0,31.0,23.74737773668832,-19.926415900282716,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
105.0,15444,-58.5,,301.0,33.0,28.286520923169707,-16.99625647203179,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
100.0,15750,-58.7,,300.0,33.0,28.578838324886473,-16.500000000000004,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
74.1,17633,-58.7,,292.0,35.0,32.45143490983756,-13.111230769556919,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
70.0,17990,-58.7,,290.0,35.0,32.88924172750679,-11.970705016398414,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
52.3,19819,-60.5,,286.0,42.0,40.37299122940939,-11.576768944313974,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
50.0,20100,-59.9,,285.0,43.0,41.534810530429944,-11.129218939408373,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
35.3,22282,-58.7,,275.0,44.0,43.8325667160368,-3.834852680896947,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
30.0,23310,-56.7,,270.0,45.0,45.0,8.266365894244634e-15,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
23.8,24782,-56.3,,267.0,44.0,43.93969952920125,2.3027820746895493,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
20.4,25772,-52.5,,265.0,43.0,42.83637201794506,3.747696938149305,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
20.0,25900,-52.9,,265.0,43.0,42.83637201794506,3.747696938149305,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
18.0,26578,-53.4,,260.0,43.0,42.34673337952494,7.466871639678004,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
16.2,27256,-53.9,,256.0,47.0,45.60389913497183,11.370329093184386,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
11.0,29806,-42.5,,243.0,61.0,54.351397975490435,27.693420484112362,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
10.0,30450,-42.1,,240.0,64.0,55.42562584220406,32.00000000000003,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
8.3,31719,-39.3,,237.0,69.0,57.868269188234265,37.58009341603686,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
7.0,32900,-33.5,,235.0,74.0,60.61725127738538,42.44465628997743,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
6.8,33106,-32.8,,235.0,74.0,60.61725127738538,42.44465628997743,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
5.7,34363,-28.5,,238.0,73.0,61.9075110194191,38.684106289023966,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
5.0,35320,-21.3,,240.0,72.0,62.35382907247957,36.00000000000003,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
3.5,37957,-19.9,,,,,,,50527,2017-03-27 12:00:00,49.21,119.75,611.0,4.72
