pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
932.0,611,22.4,9.4,250,10,9.396926207859085,3.4202014332566852,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
925.0,676,21.2,5.2,250,14,13.155696691002717,4.78828200655936,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
850.0,1400,14.8,3.8,265,16,15.939115169467929,1.394491883962532,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
700.0,3002,1.6,-2.9,240,19,16.45448267190433,9.500000000000009,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
500.0,5650,-12.9,-35.9,260,33,32.498655849402866,5.730389863008701,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
400.0,7310,-26.5,-46.5,270,37,37.0,6.79678973526781e-15,,50527,2010-06-12 12:00:00,49.21,119.75,611.0,18.17
